id,batteryUnits,weightCapacity,chargingRate,werehouseId
d1,2000,500,5,w1
d2,2000,500,5,w1
d3,2000,500,5,w1
d4,2000,500,5,w1
d5,2000,500,5,w1
d6,2000,500,5,w1
d7,2000,500,5,w1
d8,2000,500,5,w1
d9,2000,500,5,w1
d10,2000,500,5,w1
d11,2000,500,5,w1
d12,2000,500,5,w1
d13,2000,500,5,w1
d14,2000,500,5,w1
d15,2000,500,5,w1
d16,2000,500,5,w1
d17,2000,500,5,w1
d18,2000,500,5,w1
d19,2000,500,5,w1
d20,2000,500,5,w1
d21,2000,500,5,w1
d22,2000,500,5,w1
d23,2000,500,5,w1
d24,2000,500,5,w1
d25,2000,500,5,w1
d26,2000,500,5,w1
d27,2000,500,5,w1
d28,2000,500,5,w1
d29,2000,500,5,w1
d30,2000,500,5,w1
d31,2000,500,5,w1
d32,2000,500,5,w1
d33,2000,500,5,w1
d34,2000,500,5,w1
d35,2000,500,5,w1
d36,2000,500,5,w1
d37,2000,500,5,w1
d38,2000,500,5,w1
d39,2000,500,5,w1
d40,2000,500,5,w1
d41,2000,500,5,w1
d42,2000,500,5,w1
d43,2000,500,5,w1
d44,2000,500,5,w1
d45,2000,500,5,w1
d46,2000,500,5,w1
d47,2000,500,5,w1
d48,2000,500,5,w1
d49,2000,500,5,w1
d50,2000,500,5,w1
ch1,1200,200,3,w1
ch2,1200,200,3,w1
ch3,1200,200,3,w1
ch4,1200,200,3,w1
ch5,1200,200,3,w1
ch6,1200,200,3,w1
ch7,1200,200,3,w1
ch8,1200,200,3,w1
ch9,1200,200,3,w1
ch10,1200,200,3,w1
ch11,1200,200,3,w1
ch12,1200,200,3,w1
ch13,1200,200,3,w1
ch14,1200,200,3,w1
ch15,1200,200,3,w1
ch16,1200,200,3,w1
ch17,1200,200,3,w1
ch18,1200,200,3,w1
ch19,1200,200,3,w1
ch20,1200,200,3,w1
ch21,1200,200,3,w1
ch22,1200,200,3,w1
ch23,1200,200,3,w1
ch24,1200,200,3,w1
ch25,1200,200,3,w1
ch26,1200,200,3,w1
ch27,1200,200,3,w1
ch28,1200,200,3,w1
ch29,1200,200,3,w1
ch30,1200,200,3,w1
