id,name,weight,quantity,warehouseId
1,product1,40,90,w1
2,product2,13,27,w1
3,product3,24,170,w1
4,product4,77,164,w1
5,product5,92,21,w1
6,product6,31,121,w1
7,product7,8,46,w1
8,product8,97,43,w1
9,product9,70,69,w1
10,product10,84,148,w1
11,product11,72,109,w1
12,product12,51,125,w1
13,product13,55,96,w1
14,product14,51,198,w1
15,product15,69,42,w1
16,product16,16,156,w1
17,product17,25,34,w1
18,product18,28,116,w1
19,product19,63,133,w1
20,product20,74,22,w1
21,product21,52,37,w1
22,product22,7,13,w1
23,product23,79,143,w1
24,product24,93,146,w1
25,product25,74,67,w1
26,product26,35,24,w1
27,product27,80,92,w1
28,product28,49,123,w1
29,product29,17,174,w1
30,product30,85,26,w1
31,product31,25,7,w1
32,product32,44,139,w1
33,product33,41,198,w1
34,product34,81,61,w1
35,product35,23,160,w1
36,product36,47,89,w1
37,product37,25,42,w1
38,product38,21,114,w1
39,product39,5,65,w1
40,product40,30,27,w1
41,product41,16,181,w1
42,product42,62,64,w1
43,product43,41,76,w1
44,product44,86,20,w1
45,product45,1,2,w1
46,product46,52,65,w1
47,product47,78,6,w1
48,product48,79,167,w1
49,product49,81,160,w1
50,product50,71,187,w1
51,product51,17,151,w1
52,product52,48,113,w1
53,product53,42,55,w1
54,product54,18,156,w1
55,product55,46,135,w1
56,product56,72,66,w1
57,product57,19,73,w1
58,product58,5,181,w1
59,product59,18,106,w1
60,product60,69,116,w1
61,product61,24,177,w1
62,product62,24,32,w1
63,product63,84,37,w1
64,product64,62,66,w1
65,product65,40,78,w1
66,product66,75,170,w1
67,product67,29,6,w1
68,product68,57,50,w1
69,product69,59,105,w1
70,product70,5,97,w1
71,product71,26,15,w1
72,product72,71,187,w1
73,product73,36,34,w1
74,product74,35,181,w1
75,product75,11,34,w1
76,product76,97,23,w1
77,product77,41,102,w1
78,product78,12,139,w1
79,product79,19,22,w1
80,product80,59,105,w1
81,product81,15,44,w1
82,product82,68,181,w1
83,product83,80,0,w1
84,product84,11,104,w1
85,product85,1,186,w1
86,product86,27,122,w1
87,product87,97,106,w1
88,product88,76,26,w1
89,product89,94,36,w1
90,product90,49,12,w1
91,product91,3,96,w1
92,product92,76,177,w1
93,product93,72,197,w1
94,product94,65,109,w1
95,product95,90,30,w1
96,product96,48,121,w1
97,product97,29,116,w1
98,product98,8,152,w1
99,product99,4,50,w1
100,product100,96,159,w1
